Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Home,PASS,,1,4261,170.44,4291,171.64,Player5,Player9,-25.439999999999998,13.600000000000001,-36.04,14.959999999999997
Home,PASS,,1,4291,171.64,4334,173.36,Player9,Player1,-36.04,14.959999999999997,-37.099999999999994,25.84
Home,PASS,,1,4361,174.44,4376,175.04,Player1,Player9,-40.28,27.200000000000003,-45.58,17.68
Home,PASS,,1,4402,176.08,4419,176.76,Player9,Player5,-47.7,17.68,-39.22,18.36
Home,SHOT,OFF TARGET-OUT,1,4419,176.76,4443,177.72,Player5,,-39.22,18.36,-55.120000000000005,2.719999999999999
Away,RECOVERY,,1,4956,198.24,4956,198.24,Player25,,-49.82,-0.0,,
Away,PASS,,1,4956,198.24,5041,201.64,Player25,Player23,-49.82,-0.0,2.120000000000002,14.280000000000001
Away,CHALLENGE,AERIAL-WON,1,5041,201.64,5041,201.64,Player23,,2.120000000000002,14.280000000000001,,
Away,PASS,,1,5041,201.64,5102,204.08,Player23,Player18,2.120000000000002,14.280000000000001,-12.719999999999999,21.08
Home,CHALLENGE,AERIAL-LOST,1,5043,201.72,5043,201.72,Player2,,3.180000000000003,14.959999999999997,,
Away,PASS,,1,5102,204.08,5129,205.16,Player18,Player22,-12.719999999999999,21.08,0.0,31.959999999999997
Away,BALL LOST,,1,5129,205.16,5163,206.52,Player22,,0.0,31.959999999999997,1.060000000000001,18.36
Home,RECOVERY,,1,5159,206.36,5159,206.36,Player6,,0.0,18.36,,
Home,PASS,,1,5222,208.88,5254,210.16,Player6,Player4,7.419999999999995,11.559999999999999,14.840000000000002,-8.84
Home,PASS,,1,5372,214.88,5400,216.0,Player4,Player10,-1.060000000000001,-20.400000000000002,-23.319999999999997,-9.520000000000001
Home,PASS,,1,5400,216.0,5425,217.0,Player10,Player7,-23.319999999999997,-9.520000000000001,-22.26,-19.040000000000003
Home,PASS,,1,5447,217.88,5482,219.28,Player7,Player8,-25.439999999999998,-19.040000000000003,-27.560000000000002,-28.560000000000002
Home,PASS,,1,5482,219.28,5524,220.96,Player8,Player4,-27.560000000000002,-28.560000000000002,-20.14,-24.48
Home,PASS,,1,5533,221.32,5561,222.44,Player4,Player8,-20.14,-24.48,-28.62,-33.32
Home,PASS,,1,5640,225.6,5658,226.32,Player8,Player9,-28.62,-23.119999999999997,-24.38,-12.919999999999996
Home,PASS,,1,5658,226.32,5687,227.48,Player9,Player4,-24.38,-12.919999999999996,-20.14,-25.16
Home,PASS,,1,5707,228.28,5745,229.8,Player4,Player7,-19.08,-25.84,-31.799999999999997,-33.32
Home,PASS,,1,5745,229.8,5763,230.52,Player7,Player9,-31.799999999999997,-33.32,-32.86,-24.48
Home,BALL LOST,,1,5763,230.52,5795,231.8,Player9,,-32.86,-24.48,-29.680000000000003,-20.400000000000002
Away,RECOVERY,,1,5800,232.0,5800,232.0,Player21,,-30.740000000000002,-20.400000000000002,,
Home,CHALLENGE,TACKLE-LOST,1,5820,232.8,5820,232.8,Player7,,-27.560000000000002,-23.799999999999997,,
Away,PASS,,1,5852,234.08,5867,234.68,Player21,Player15,-27.560000000000002,-25.84,-33.92,-23.799999999999997
Away,PASS,,1,5885,235.4,5900,236.0,Player15,Player19,-33.92,-23.799999999999997,-24.38,-15.639999999999999
Away,PASS,,1,5929,237.16,5959,238.36,Player19,Player16,-28.62,-15.639999999999999,-43.46,-11.560000000000002
Away,PASS,,1,5959,238.36,6011,240.44,Player16,Player17,-43.46,-11.560000000000002,-40.28,8.16
Away,PASS,,1,6034,241.36,6079,243.16,Player17,Player18,-38.16,11.559999999999999,-22.26,29.24
Away,BALL OUT,,1,6099,243.96,6123,244.92,Player18,,-18.02,31.28,-10.599999999999998,34.68
Home,SET PIECE,THROW IN,1,6354,254.16,6354,254.16,Player1,,,,,
Home,PASS,,1,6354,254.16,6386,255.44,Player1,Player5,-13.780000000000001,34.0,-8.480000000000002,29.92
Home,PASS,,1,6394,255.76,6419,256.76,Player5,Player9,-9.540000000000003,28.56,-14.840000000000002,15.639999999999999
Home,PASS,,1,6494,259.76,6517,260.68,Player9,Player1,-10.599999999999998,26.52,-19.08,31.959999999999997
Home,BALL LOST,INTERCEPTION,1,6602,264.08,6630,265.2,Player1,,-30.740000000000002,23.799999999999997,-39.22,4.08
Away,RECOVERY,INTERCEPTION,1,6630,265.2,6630,265.2,Player16,,-38.16,2.040000000000002,,
Away,PASS,,1,6630,265.2,6697,267.88,Player16,Player23,-38.16,2.040000000000002,-8.480000000000002,14.959999999999997
