Time [s],Period,HomeHull,AwayHull
242.0,1.0,1002.147689331984,1325.966090887032
244.0,1.0,1251.7740896064588,1206.2672410436833
255.0,1.0,1297.596760485,822.4410575929201
257.0,1.0,1144.427172573568,623.1382307184881
259.0,1.0,1090.810437363368,562.177367541264
261.0,1.0,1043.7210685241362,596.821865260104
263.0,1.0,1089.38262280032,587.508430300344
265.0,1.0,1030.143262545968,588.7423117709361
267.0,1.0,916.1857724061921,579.753159137768
269.0,1.0,840.0378536113681,555.82560630816
271.0,1.0,794.496464263584,635.447028832856
273.0,1.0,852.01170979068,595.693503453056
275.0,1.0,874.006705565096,478.67564903455997
277.0,1.0,897.447109758392,512.0293762220961
279.0,1.0,936.5430736900639,637.736080420656
281.0,1.0,854.506544307608,596.111819408696
283.0,1.0,861.1461053898079,604.324635338904
285.0,1.0,884.47292986188,682.721330704376
287.0,1.0,745.85970736372,672.3541394333599
289.0,1.0,678.668914140736,730.703127162912
291.0,1.0,653.783485441056,815.233427478648
293.0,1.0,646.977142605872,903.828396105568
295.0,1.0,641.9774072828641,998.525448147296
297.0,1.0,638.6461639422561,1087.189329989872
299.0,1.0,638.3966009041519,1173.402179423312
301.0,1.0,628.641894829728,1209.202363150928
303.0,1.0,595.9202793217839,1183.3105826908559
305.0,1.0,548.743547850296,1141.4570342402321
307.0,1.0,520.84102595912,1092.712460299816
309.0,1.0,529.823419520944,1027.295986893608
311.0,1.0,542.921381659032,951.7093777567761
313.0,1.0,630.2868224329441,873.22252776908
315.0,1.0,981.4170844799266,772.9415618839066
326.0,1.0,1352.13849159572,686.8248061955919
328.0,1.0,1390.3021646191041,695.5430405913919
330.0,1.0,1286.1632045610081,741.874443238288
332.0,1.0,1179.3203036931282,784.537754064688
334.0,1.0,1003.24826621636,824.591445453712
336.0,1.0,662.31465153548,881.929835146824
338.0,1.0,552.620109612576,977.3280658664801
340.0,1.0,631.208660587952,1078.192663492432
342.0,1.0,689.2502162678259,1161.0172225743374
348.0,1.0,962.623539696056,1057.0107563767601
350.0,1.0,977.2770022825362,858.716808048744
352.0,1.0,1108.995240087872,697.934261571544
354.0,1.0,1236.228516724264,696.4946371762239
356.0,1.0,1322.400666747928,690.75545640064
358.0,1.0,1311.9008641345122,601.2933802222
360.0,1.0,1163.9341586681921,565.779695004152
362.0,1.0,1079.56691944396,621.930033326888
364.0,1.0,1050.078917223184,714.213452215288
366.0,1.0,971.552893088968,649.508573140712
368.0,1.0,921.119261358216,533.978800879736
370.0,1.0,956.1254800367601,498.17897237677596
372.0,1.0,1110.465486107056,540.634842109688
374.0,1.0,1120.7673729701519,641.632805315952
376.0,1.0,1061.813623062816,697.775166602752
378.0,1.0,1046.258318127832,661.333416447528
380.0,1.0,1005.3274334581599,655.877454779376
382.0,1.0,937.696962391248,615.9897569917839
384.0,1.0,933.689647725208,579.1867256585599
386.0,1.0,951.7085620346238,618.86764409752
388.0,1.0,1092.926263520088,752.76139731296
390.0,1.0,1159.914916809224,837.1894885418881
392.0,1.0,1135.250966804656,926.3242224031201
394.0,1.0,1000.362144792336,853.134479602496
396.0,1.0,861.97748957255,450.86198667001
419.0,1.0,743.7172426230238,154.42120625899202
421.0,1.0,778.968424107576,202.38975081673598
423.0,1.0,857.8248264034166,222.34508908893935
428.0,1.0,954.351064652716,377.87577623205993
430.0,1.0,987.9154011849118,416.545247269088
432.0,1.0,1065.0080794666242,498.861550147568
434.0,1.0,1107.88790377896,539.523681502672
436.0,1.0,1169.114166792,542.057063906248
438.0,1.0,1170.1239000126,577.926665106784
440.0,1.0,1215.495549682064,550.0849354876079
442.0,1.0,1276.111009233032,585.5242773864479
444.0,1.0,1131.133883171664,589.802289681808
446.0,1.0,861.393841754928,523.39902456928
448.0,1.0,800.55173633872,506.57849887531995
450.0,1.0,830.138821954768,491.075614473528
452.0,1.0,797.7675369501121,536.1092708380879
454.0,1.0,766.0408169443119,549.303967190544
456.0,1.0,804.221830541616,510.70399977284796
458.0,1.0,909.545525756696,549.0623593769681
460.0,1.0,927.8650285650481,705.8254037719839
462.0,1.0,847.898250851856,919.781469820936
464.0,1.0,763.1589254846319,1092.3681406990959
466.0,1.0,834.8356117844639,1296.8936972538481
468.0,1.0,818.969621239984,1340.984597717656
470.0,1.0,901.78528190304,1130.24395816996
472.0,1.0,1050.936680676696,1065.8329901391598
474.0,1.0,1205.6047819542162,1122.066966814256
476.0,1.0,1239.465481789096,1087.427990618032
478.0,1.0,1074.43485908752,839.9373827337599
480.0,1.0,932.828919736624,540.1169173172
482.0,1.0,927.7799888981999,372.98559545602404
484.0,1.0,1015.385006581232,419.74460257568
486.0,1.0,954.603908329128,507.46081997041597
488.0,1.0,698.8309881639834,625.361658139775
553.0,1.0,535.143494639616,874.822791858048
